name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_NS+LMXB,e_P_NS+LMXB,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W3,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J191416.6+094905,0.4090436746987952,0.0010793172690763,0.0375878514056224,0.0009638554216867,0.0,0.0287374497991967,0.2787943720010284,0.0044625447295302,0.0467045784828243,0.0032134608208935,0.0,0.0286841856368756,0.5225878514056225,0.30178384253056084,NS+LMXB,0.5225878514056225,0.30178384253056084,0.0,288.56920833333334,9.818116666666668,1.61,5.14,5.2114727069605886e-14,0.940995561088979,,,,,,0,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191411.4+095237,0.0502627175368139,0.0061194779116465,0.0246352074966532,8.032128514056225e-05,0.0001054216867469,0.0063403614457831,0.1251672276372464,0.024229364263048,0.0393663619787942,0.0009992833096039,0.0016816869739291,0.0121707127446771,0.9124564926372155,0.2267432718876891,NS+LMXB,0.9124564926372155,0.2267432718876891,1.0,288.5478333333333,9.877008333333334,0.85,5.14,2.9857676710799995e-14,0.8654310929191426,,0.601,,,,0,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191355.5+094615,1.004016064257028e-05,0.0549799196787148,0.4006626506024096,0.0308534136546184,0.3007028112449799,0.2092168674698795,0.0003168621252622,0.0466215340327989,0.143091363618892,0.0301816044075966,0.1090401614828663,0.1046121775660081,0.0035742971887549,0.006657644598487118,HM-STAR,0.4006626506024096,0.143091363618892,0.0,288.4812916666666,9.770991666666667,1.49,6.03,2.272112233148995e-14,0.19010047560464666,,0.421,12.299035,9.79,8.749,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191408.5+095504,0.0,0.0027510040160642,0.1437048192771084,0.0009839357429718,0.7809738955823293,0.0649899598393574,0.0,0.0069065731560436,0.0859158710680066,0.0034489446309304,0.1104142738992045,0.0455044301736162,0.0065963855421686,0.00998434224517649,LM-STAR,0.7809738955823293,0.1104142738992045,1.0,288.53545833333334,9.917930555555555,0.75,8.75,1.954387378810518e-14,-0.8928910147974362,,0.817,13.118026,11.694,11.966,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191417.8+100116,2.008032128514056e-05,0.0529919678714859,0.0723995983935743,0.0244578313253012,0.1132530120481927,0.7330421686746988,0.0004478854770777,0.0438141797535954,0.0398762528019746,0.0282203680838788,0.0712956914480752,0.1021560646099811,0.0038353413654618,0.008169500093108859,YSO,0.7330421686746988,0.1021560646099811,1.0,288.57416666666666,10.021272222222224,2.07,5.09,2.1118210395204243e-14,-0.27510804637665265,,0.883,14.744969,12.203,10.203,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191348.6+095235,8.032128514056225e-05,0.0589457831325301,0.1733433734939759,0.0239859437751004,0.1358232931726907,0.5901405622489959,0.0009992833096039,0.0560185994981831,0.0817470455954401,0.0291189865914564,0.0699836657151728,0.1239264667741348,0.017680722891566202,0.0190605661122926,YSO,0.5901405622489959,0.1239264667741348,1.0,288.45287499999995,9.8764,0.88,4.11,4.337940974921948e-15,-0.638483253526321,,0.555,17.249744,14.052,,8,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191346.8+095635,0.0052459839357429,0.1254919678714859,0.1296987951807229,0.0046385542168674,0.0484538152610441,0.4323142570281124,0.0094451462601231,0.0619426622188355,0.0743109698480176,0.0089985972953841,0.031400618940576,0.0876177779483894,0.254156626506024,0.09601770255978645,YSO,0.4323142570281124,0.0876177779483894,0.0,288.4453333333333,9.943205555555556,1.73,3.17,5.564296620973786e-15,-0.41498407846030383,,0.857,18.02978,,,5,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191342.2+095601,0.6667921686746988,0.0003664658634538,0.0191014056224899,0.0009939759036144,1.004016064257028e-05,0.0176305220883534,0.2828716277178651,0.0022841467975599,0.0375890334433883,0.0034020336595225,0.0003168621252622,0.024686130871718,0.29510542168674697,0.26978281940558196,AGN,0.6667921686746988,0.2828716277178651,0.0,288.4261249999999,9.933613888888887,1.28,5.03,3.717580775315866e-14,0.9665955197090176,,,,,,0,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191347.3+095852,0.037324297188755,0.006867469879518,0.010863453815261,0.0010542168674698,0.000617469879518,0.0166465863453815,0.0806487156044738,0.0327166379387333,0.0211825620355713,0.0037501185628368,0.0053561832979935,0.0215399499911602,0.9266265060240964,0.28754081148606564,NS+LMXB,0.9266265060240964,0.28754081148606564,1.0,288.44724999999994,9.981266666666668,1.95,3.88,2.9654256605113954e-14,0.8931514874096866,,0.51,,,,0,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191351.1+101153,0.1400953815261044,0.0090244310575635,0.0054467871485943,0.0114759036144578,0.0012198795180722,0.0662299196787148,0.109657144708785,0.0153186647832773,0.0136678539234673,0.015186625353742,0.0037028912220797,0.0429797001094828,0.7665076974564926,0.22576520580467513,NS+LMXB,0.7665076974564926,0.22576520580467513,0.0,288.4631666666666,10.198097222222222,2.42,5.5,7.436922992066311e-14,0.9451593105686703,,0.154,,,,2,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191354.6+101342,0.0035291164658634,0.0032881526104417,0.0250702811244979,2.008032128514056e-05,0.0001405622489959,0.0034487951807228,0.0121266414470958,0.0147442621562922,0.0407350192005309,0.0004478854770777,0.0024516062389574,0.0091979016917923,0.9645030120481928,0.2125218553828238,NS+LMXB,0.9645030120481928,0.2125218553828238,1.0,288.47775,10.228344444444444,3.65,3.76,3.482963185681468e-14,0.8042108586831039,,0.008,,,,0,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191340.1+101229,0.0015261044176706,0.0013253012048192,0.0341365461847389,0.0263453815261044,0.0214959839357429,0.9143273092369476,0.0042153489915716,0.0041152495433031,0.0285417340508952,0.022166505330064,0.0275110025305681,0.0476529465380425,0.0008433734939758,0.002956875573327637,YSO,0.9143273092369476,0.0476529465380425,1.0,288.41733333333326,10.208225,1.34,5.94,3.3982684292322096e-14,0.780906990142437,,1.0,18.526009,12.598,6.978,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191338.3+101159,0.2272908299866131,0.0007530120481927,0.076989625167336,0.0003363453815261,4.0160642570281125e-05,0.0228831994645247,0.3110179039060435,0.0038089079620241,0.1050873131615263,0.0023749793539835,0.000632768166122,0.0317587196111374,0.6717068273092369,0.34355840162986495,NS+LMXB,0.6717068273092369,0.34355840162986495,0.0,288.4099583333333,10.199991666666667,1.27,4.43,2.2819839480239787e-14,0.9263939186805392,,,,,,0,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191327.2+101032,0.0001405622489959,0.040512048192771,0.1795180722891566,0.0702911646586345,0.4539056224899598,0.1880220883534136,0.0011778189899155,0.0461703080142676,0.0707090341629703,0.0512655473390154,0.1377431413663905,0.0765184873648141,0.06761044176706821,0.06588955051559367,LM-STAR,0.4539056224899598,0.1377431413663905,0.0,288.3637499999999,10.175780555555557,1.08,3.53,7.966223035581241e-15,0.3205756295062643,,0.327,13.846406,12.233,11.196,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191331.9+101231,0.0003614457831325,0.1620331325301204,0.0580572289156626,0.0095983935742971,0.0988002008032128,0.4428915662650602,0.0019205002274643,0.0688469857281038,0.0304508127632336,0.0118635185671742,0.0420240567614944,0.0967537011311168,0.2282580321285139,0.07391537696520352,YSO,0.4428915662650602,0.0967537011311168,0.0,288.3830416666666,10.208769444444444,0.99,4.33,5.268288963317827e-15,-0.730579245315627,,0.999,18.998613,16.024,,6,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191316.1+100902,0.0,0.001867469879518,0.1163755020080321,0.0022389558232931,0.8568674698795181,0.0222489959839357,0.0,0.005391833208738,0.1037334018314575,0.0060406602615969,0.1192448033317689,0.0230481743463442,0.0004016064257028,0.0022053743012837,LM-STAR,0.8568674698795181,0.1192448033317689,1.0,288.3174166666666,10.150561111111111,0.74,9.27,1.9795080156946402e-14,-0.9294208892943507,,0.352,9.999143,8.556,7.792,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191245.3+100657,2.008032128514056e-05,0.0050602409638554,0.1986646586345381,0.0096987951807228,0.6772991967871487,0.1073092369477911,0.0004478854770777,0.0077716393012874,0.0764575225846538,0.0120680498711548,0.0941869990674087,0.0456399361731535,0.0019477911646585701,0.005098037868748884,LM-STAR,0.6772991967871487,0.0941869990674087,1.0,288.18883333333326,10.116108333333331,4.13,4.38,9.046696941712753e-15,-0.9982360754075358,,,12.815206,11.028,8.882,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191257.6+101053,0.0004267068273092,0.1750150602409638,0.059191767068273,0.0189759036144578,0.0822339357429718,0.4637449799196787,0.0021603204671989,0.0852184586965138,0.0343192867013346,0.0259716780743318,0.041355846298768,0.1027064961267433,0.20041164658634528,0.06715619173023138,YSO,0.4637449799196787,0.1027064961267433,0.0,288.2401249999999,10.181405555555555,1.93,3.76,4.702625155527272e-15,-0.37600720154583944,,0.997,18.893637,15.837,,6,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191249.0+100917,4.0160642570281125e-05,0.0019477911646586,0.0459236947791164,0.0126405622489959,0.0221987951807228,0.9114759036144578,0.0007755002109497,0.0046399277784799,0.040278555223065,0.0322545672241814,0.0248954525232199,0.0662349284776464,0.0057730923694777996,0.0098566904195741,YSO,0.9114759036144578,0.0662349284776464,1.0,288.20420833333327,10.154941666666668,5.77,3.29,7.056403311906021e-15,0.21364945021641096,,0.886,17.61236,14.371,10.705,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191246.9+100948,1.004016064257028e-05,0.1735943775100401,0.0975401606425702,0.0966064257028112,0.1949698795180723,0.2204016064257028,0.0003168621252622,0.1033077664143488,0.060506018584925,0.0580324785071594,0.0932608547652403,0.0755431878037157,0.2168775100401605,0.11034822400134706,YSO,0.2204016064257028,0.0755431878037157,0.0,288.1955833333333,10.163494444444444,1.45,7.55,3.666115980665525e-14,0.08932608520383777,,0.694,15.166695,13.117,,8,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191237.9+101044,0.0002660642570281,0.0902610441767068,0.0026054216867469,0.0003614457831325,8.53413654618474e-05,0.0010592369477911,0.0016638313151017,0.081529241469469,0.006574958640823,0.0019205002274643,0.0010113655547637,0.0034155283911915,0.9053614457831326,0.17717714135856108,NS+LMXB,0.9053614457831326,0.17717714135856108,1.0,288.1582083333333,10.17914722222222,1.58,14.66,2.660686252032787e-13,0.7657098789497219,,0.762,,,,0,extent,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J191300.3+101941,0.0,0.0222389558232931,0.4148192771084337,0.0353815261044176,0.4427911646586345,0.0812650602409638,0.0,0.0258621612677916,0.1274444108589129,0.0395293291035555,0.1353404067184021,0.0404771295198563,0.003504016064256962,0.008340659934388015,LM-STAR,0.4427911646586345,0.1353404067184021,0.0,288.2515,10.328183333333332,4.13,4.19,1.7218558519192562e-14,-0.24168349958963833,,0.667,11.084205,9.003,8.212,9,,44.459999,-0.13,29.4,extent,J1912+101,
2CXO J190806.2+060108,0.5616666666666666,0.0002259036144578,0.0319176706827309,0.0005722891566265,5.020080321285141e-05,0.0275100401606425,0.3102009129018789,0.0025704489345975,0.0741161471295061,0.0026851153425386,0.0008372544025037,0.0335836898017758,0.3780572289156626,0.31326336865246873,AGN,0.5616666666666666,0.3102009129018789,0.0,287.02625,6.019166666666667,1.07,3.06,2.0436378845608032e-14,0.9592512109162128,,,,,,0,,40.546513,-0.8368959999999999,29.14374,extent,J1908+063,
2CXO J190808.1+060346,0.0003413654618473,0.0317469879518072,0.0318775100401606,0.044508032128514,0.1595883534136546,0.6314156626506024,0.0018712143003303,0.0365491373106757,0.0254445708779044,0.0399680643336132,0.1030788897517911,0.1372123905346884,0.1005220883534136,0.08105888398692261,YSO,0.6314156626506024,0.1372123905346884,0.0,287.034,6.062997222222222,1.04,3.31,6.162204967859028e-15,0.39931904681347175,,0.342,19.480757,15.71,,6,,40.546513,-0.8368959999999999,29.14374,extent,J1908+063,
2CXO J190804.9+060625,0.6413303212851406,0.0002761044176706,0.0241265060240963,0.0006977911646586,0.0,0.0221887550200803,0.2909488243942206,0.0023401823759923,0.0586587101942176,0.0027709975238074,0.0,0.0295217918668799,0.3113805220883533,0.28382229160522987,AGN,0.6413303212851406,0.2909488243942206,0.0,287.0206666666666,6.10715,1.81,3.35,2.3956411357421137e-14,0.9623046318397376,,,,,,0,,40.546513,-0.8368959999999999,29.14374,extent,J1908+063,
2CXO J190732.6+055850,0.0002710843373493,0.0718022088353413,0.0508919009370816,0.0,0.0663052208835341,0.0086144578313253,0.0019611316671747,0.1073031212701294,0.0639315783160028,0.0,0.0723316149790587,0.0167358415915098,0.8021151271753679,0.30640854966642295,NS+LMXB,0.8021151271753679,0.30640854966642295,0.0,286.8860833333333,5.980688888888889,1.89,4.49,1.5404468356242592e-14,-0.7218573213677278,,0.753,,,,0,,40.546513,-0.8368959999999999,29.14374,extent,J1908+063,
2CXO J190754.7+060214,,,,,,,,,,,,,,,,,,,286.97816666666665,6.037425,0.73,5.09,2.2667346750036587e-14,0.7657695897839308,,,,,,0,,40.546513,-0.8368959999999999,29.14374,extent,J1908+063,NS
2CXO J161632.0-520410,0.5183751673360106,0.0075217536813922,0.0095557228915662,0.0006124497991967,9.538152610441768e-05,0.0102811244979919,0.2274769999754681,0.0197315052970569,0.0199247241017831,0.0028927922249573,0.0011500223965571,0.0150733978169923,0.4535584002677375,0.23855643399201312,AGN,0.5183751673360106,0.2274769999754681,0.0,244.13354166666664,-52.06958611111112,3.51,3.35,1.70812750980915e-14,0.9128071211499303,,0.869,,,,0,,331.470001,-0.6,25.2,extent,J1614-518,
2CXO J161638.1-520136,2.008032128514056e-05,0.0033132530120481,0.3251104417670682,0.0042771084337349,0.6326556224899599,0.0325251004016064,0.0004478854770777,0.0078341005044491,0.1513792131777583,0.010999292716973,0.1596053577724205,0.026914612281459,0.00209839357429717,0.0064936091116161235,LM-STAR,0.6326556224899599,0.1596053577724205,0.0,244.1591666666666,-52.02686111111111,1.24,4.97,6.745957461472963e-15,-0.24186904779153132,,0.566,9.5834,8.134,7.521,9,,331.470001,-0.6,25.2,extent,J1614-518,
2CXO J161629.0-520152,0.0002911646586345,0.1228614457831325,0.105070281124498,0.0606626506024096,0.2076757028112449,0.2901255020080321,0.0017976987659956,0.0687866476431873,0.0762098074665704,0.0383341910259035,0.0887854635891016,0.1003256472179347,0.2133132530120481,0.10879160077573136,YSO,0.2901255020080321,0.1003256472179347,0.0,244.121,-52.031327777777776,1.59,5.24,1.0865536905314404e-14,0.1211223039667291,,0.964,16.431807,14.156,,6,,331.470001,-0.6,25.2,extent,J1614-518,
2CXO J161633.3-520009,0.001144578313253,0.434437751004016,0.0625050200803212,0.0014759036144578,0.0030973895582329,0.1721987951807228,0.0042527178094396,0.1550898107146299,0.0515841993542079,0.0039507548654378,0.0066702333751711,0.0843368136059231,0.3251405622489959,0.12406757844379702,CV,0.434437751004016,0.1550898107146299,0.0,244.13891666666663,-52.002744444444446,1.91,4.49,7.0167948933937475e-15,0.4320504423378371,,0.005,18.08967,,,3,,331.470001,-0.6,25.2,extent,J1614-518,
2CXO J161649.4-515702,0.0004116465863453,0.3180722891566265,0.0792419678714859,0.0027409638554216,0.0058935742971887,0.2599999999999999,0.0032533283922372,0.1056720478825843,0.0432539850401351,0.0084364111945731,0.0089921640301558,0.0847253914703201,0.3336395582329317,0.1175634485356555,NS+LMXB,0.3336395582329317,0.1175634485356555,0.0,244.20595833333329,-51.95074166666667,1.02,4.72,3.912994137044272e-15,-0.1613376531520857,,0.329,19.46935,,,3,,331.470001,-0.6,25.2,extent,J1614-518,
2CXO J161621.7-515417,0.0,0.003433734939759,0.1401706827309237,0.0063353413654618,0.7961345381526105,0.0523995983935743,0.0,0.007329751207911,0.1030337359199591,0.014139434714804,0.128355732016905,0.035616112889056,0.0015261044176706,0.004259735343879278,LM-STAR,0.7961345381526105,0.128355732016905,1.0,244.09079166666663,-51.904725,3.89,4.0,7.107522849082665e-15,-0.8327113963957372,,0.329,11.543522,9.965,9.213,9,,331.470001,-0.6,25.2,extent,J1614-518,
2CXO J161610.8-515545,0.0153212851405622,0.0036696787148594,0.0167369477911646,0.0,3.012048192771084e-05,0.0017570281124497,0.0359822288458985,0.0131501695461561,0.0302858256698377,0.0,0.0005482694432981,0.0050500212252116,0.9624849397590362,0.17662917398785108,NS+LMXB,0.9624849397590362,0.17662917398785108,1.0,244.0450833333333,-51.92939166666667,2.02,7.15,4.6586865234000463e-14,0.8232606888949521,,0.136,,,,0,,331.470001,-0.6,25.2,extent,J1614-518,
2CXO J184201.9-052823,0.0027560240963855,0.0108333333333333,0.0141265060240963,6.358768406961175e-05,0.0001004016064257,0.0023845381526104,0.0206978675826221,0.0407172914428939,0.0284762099462953,0.0007811111085753,0.0011819240932345,0.0067221767448121,0.969735609103079,0.20778102994273567,NS+LMXB,0.969735609103079,0.20778102994273567,1.0,280.5080416666666,-5.473288888888889,1.36,6.22,5.062928557978479e-14,0.8434832981884972,,0.629,,,,0,,26.707516,-0.227319,24.493380000000002,extent,J1841-055,
2CXO J184203.8-052331,0.0002911646586345,0.1762700803212851,0.1983032128514056,0.0010341365461847,0.0132279116465863,0.2137751004016064,0.0020583357303633,0.1009819544473845,0.1108218835750162,0.0032384063574712,0.0153860624803577,0.084844555603573,0.3970983935742971,0.14636814314350977,NS+LMXB,0.3970983935742971,0.14636814314350977,0.0,280.5160833333333,-5.3919500000000005,0.77,3.59,6.321610486200116e-15,-0.3758811617985301,,0.623,17.699736,,,3,,26.707516,-0.227319,24.493380000000002,extent,J1841-055,
2CXO J184156.6-052213,0.1886596385542168,0.0001104417670682,0.0083132530120481,0.0120281124497991,0.0007730923694779,0.0704735609103078,0.1463943034337716,0.0011376831811739,0.0249384421031648,0.0157446078462617,0.0031788748168191,0.0585262564583071,0.7196419009370817,0.31900890199902365,NS+LMXB,0.7196419009370817,0.31900890199902365,0.0,280.48616666666663,-5.370461111111111,0.78,3.43,1.057478500993388e-14,0.9969819355757934,,,,,,0,,26.707516,-0.227319,24.493380000000002,extent,J1841-055,
2CXO J184144.1-052739,0.0013253012048192,0.2549849397590361,0.0612248995983935,0.0163052208835341,0.0046937751004016,0.1826757028112449,0.0049317556181367,0.0874586752327274,0.0324363407847971,0.0176496676083383,0.0101833246985058,0.0687219600343503,0.4787901606425702,0.1310155095683412,NS+LMXB,0.4787901606425702,0.1310155095683412,0.0,280.43416666666667,-5.4608944444444445,1.61,3.35,1.7917733502412515e-14,0.7056619223076775,,0.997,18.807867,,,3,,26.707516,-0.227319,24.493380000000002,extent,J1841-055,
